,Balance,CreditScore,Age,Tenure,EstimatedSalary,DaysLastTransaction,Geography,Gender,MembershipType,HasCrCard,Exited
58,0.0,511.0,66.0,4.0,1643.11,63.0,Spain,Female,Savings,True,True
59,40685.92,614.0,51.0,4.0,46775.28,3.0,Netherlands,Male,Savings,True,False
60,136857.0,742.0,35.0,5.0,84509.57,62.0,Netherlands,Male,Savings,False,False
61,152328.88,687.0,27.0,9.0,126494.82,40.0,Netherlands,Female,Savings,False,False
62,56084.69,555.0,33.0,1.0,178798.13,44.0,Spain,Male,FullAccess,True,False
63,78707.16,684.0,56.0,8.0,99398.36,22.0,Spain,Male,Savings,True,False
64,109166.37,603.0,26.0,4.0,92840.67,29.0,Netherlands,Male,Savings,True,False
65,169831.46,751.0,36.0,6.0,27758.36,13.0,Netherlands,Female,FullAccess,True,False
66,0.0,581.0,34.0,1.0,110431.51,29.0,Netherlands,Female,Savings,True,False
67,0.0,735.0,43.0,10.0,196673.28,25.0,Italy,Male,FullAccess,True,False
68,150725.53,661.0,35.0,5.0,113656.85,20.0,Germany,Female,FullAccess,False,False
69,98373.26,675.0,21.0,8.0,18203.0,68.0,Netherlands,Female,Savings,True,False
70,133745.44,738.0,58.0,2.0,28373.86,40.0,Netherlands,Male,Sustainable,True,True
71,0.0,813.0,29.0,6.0,33953.87,29.0,Netherlands,Male,Savings,True,False
72,163607.18,657.0,37.0,0.0,44203.55,28.0,Netherlands,Female,Savings,False,False
73,0.0,604.0,25.0,5.0,58426.81,25.0,Netherlands,Female,FullAccess,True,False
74,0.0,519.0,36.0,9.0,145562.4,28.0,Netherlands,Male,Savings,False,False
76,0.0,664.0,55.0,8.0,139161.64,12.0,Netherlands,Male,Savings,True,False
77,0.0,678.0,32.0,9.0,100000.325,28.0,France,Female,Savings,True,False
78,77253.22,652.0,33.0,5.0,194239.63,29.0,Spain,Male,Savings,False,False
79,122189.66,416.0,41.0,10.0,98301.61,84.0,Italy,Female,FullAccess,True,False
80,96645.54,665.0,34.0,1.0,171413.66,48.0,France,Female,FullAccess,True,False
81,0.0,777.0,32.0,2.0,136458.19,40.0,France,Female,Savings,True,True
82,0.0,543.0,36.0,3.0,26019.59,74.0,France,Female,FullAccess,False,False
83,90307.62,652.0,37.0,5.0,159235.29,26.0,France,Female,Savings,True,False
85,0.0,652.0,75.0,10.0,100000.325,29.0,Italy,Male,FullAccess,True,False
86,121681.82,750.0,22.0,3.0,128643.35,43.0,Spain,Male,Savings,True,True
87,0.0,729.0,30.0,9.0,151869.35,54.0,Netherlands,Male,FullAccess,True,False
88,0.0,646.0,46.0,4.0,93251.42,68.0,France,Female,OnlineBank,True,True
89,0.0,635.0,28.0,3.0,156791.36,29.0,Netherlands,Female,FullAccess,True,False
90,0.0,647.0,44.0,5.0,174205.22,29.0,Spain,Male,OnlineBank,True,True
91,118626.55,808.0,37.0,7.0,147132.46,82.0,Italy,Male,FullAccess,True,False
92,0.0,524.0,36.0,10.0,109614.57,42.0,France,Female,FullAccess,True,False
94,0.0,730.0,42.0,4.0,85982.47,13.0,Netherlands,Male,FullAccess,False,False
95,0.0,515.0,35.0,10.0,121277.78,16.0,Italy,Male,Savings,False,False
96,102827.44,773.0,41.0,9.0,64595.25,29.0,Spain,Male,Savings,False,False
97,97086.4,814.0,29.0,8.0,197276.13,0.0,Germany,Male,FullAccess,True,False
98,0.0,710.0,22.0,8.0,99645.04,40.0,Italy,Male,FullAccess,False,False
99,0.0,652.0,34.0,9.0,100000.325,45.0,Netherlands,Male,Savings,False,False
100,0.0,665.0,37.0,6.0,161848.03,12.0,Netherlands,Female,Savings,True,False
101,0.0,623.0,44.0,5.0,167162.43,78.0,Netherlands,Female,FullAccess,False,False
102,82674.15,652.0,31.0,9.0,41970.72,81.0,Netherlands,Male,Savings,True,False
103,0.0,528.0,36.0,7.0,60536.56,90.0,Netherlands,Male,Savings,True,False
104,0.0,652.0,65.0,1.0,177655.68,17.0,Spain,Female,Savings,True,True
105,107073.27,622.0,46.0,4.0,30984.59,25.0,Netherlands,Male,FullAccess,True,True
107,99806.85,785.0,36.0,2.0,100000.325,29.0,Netherlands,Female,Savings,False,False
109,92833.89,479.0,35.0,9.0,99449.86,41.0,Netherlands,Male,Savings,True,True
110,90536.81,652.0,30.0,3.0,63082.88,18.0,Italy,Male,Savings,True,False
111,108055.1,538.0,39.0,7.0,27231.26,85.0,Netherlands,Male,FullAccess,True,False
112,100238.35,562.0,42.0,2.0,100000.325,29.0,Netherlands,Male,Savings,False,False
113,106190.55,675.0,36.0,9.0,22994.32,14.0,Spain,Male,Savings,False,False
114,0.0,721.0,28.0,9.0,101300.94,12.0,Italy,Male,FullAccess,True,True
115,132351.29,628.0,30.0,9.0,74169.13,22.0,Italy,Female,FullAccess,True,False
116,0.0,668.0,37.0,6.0,115638.29,81.0,Netherlands,Female,Savings,True,False
117,0.0,506.0,41.0,1.0,31766.3,86.0,Italy,Female,FullAccess,True,False
118,107818.63,524.0,31.0,8.0,199725.39,49.0,Germany,Female,Savings,True,True
119,185173.81,699.0,34.0,4.0,120834.48,39.0,Netherlands,Male,FullAccess,True,False
120,129433.34,828.0,34.0,8.0,38131.77,57.0,Netherlands,Male,FullAccess,False,False
121,120193.42,674.0,39.0,6.0,100130.95,32.0,Netherlands,Male,Savings,False,False
122,0.0,656.0,37.0,6.0,141069.88,72.0,Netherlands,Female,FullAccess,True,False
123,126384.42,684.0,48.0,10.0,198129.36,0.0,Germany,Female,Savings,True,False
124,0.0,625.0,28.0,3.0,100000.325,87.0,Italy,Male,Savings,False,False
125,152603.45,432.0,42.0,9.0,110265.24,85.0,Netherlands,Male,Savings,True,True
126,0.0,549.0,52.0,1.0,8636.05,8.0,Netherlands,Female,Savings,False,True
127,148507.24,625.0,56.0,0.0,46824.08,89.0,Germany,Male,Savings,True,True
129,0.0,770.0,24.0,9.0,167256.35,64.0,France,Male,Savings,True,False
130,0.0,758.0,34.0,3.0,100000.325,16.0,Italy,Female,FullAccess,True,False
131,130862.43,795.0,33.0,9.0,114935.21,8.0,Netherlands,Female,Savings,True,False
132,122570.87,687.0,38.0,5.0,35608.88,4.0,France,Male,Savings,True,False
133,0.0,686.0,25.0,1.0,16459.37,14.0,Netherlands,Male,FullAccess,False,False
135,144895.05,589.0,50.0,5.0,34941.23,17.0,Netherlands,Female,FullAccess,True,False
136,63663.93,461.0,34.0,5.0,100000.325,0.0,Germany,Female,Savings,False,False
137,133463.1,637.0,40.0,2.0,93165.34,23.0,Netherlands,Male,Savings,False,False
138,213146.2,584.0,48.0,2.0,75161.25,58.0,Italy,Male,Savings,True,True
139,129490.36,579.0,35.0,1.0,8590.83,29.0,Spain,Male,FullAccess,False,True
140,137452.09,756.0,44.0,10.0,189543.9,67.0,Germany,Male,Savings,True,False
141,0.0,663.0,34.0,7.0,180427.24,17.0,Netherlands,Male,FullAccess,True,False
142,125851.93,682.0,43.0,5.0,193318.33,8.0,Netherlands,Female,Savings,True,False
143,0.0,793.0,37.0,2.0,159123.82,41.0,Netherlands,Male,Savings,True,True
144,40915.55,691.0,31.0,5.0,126213.84,55.0,France,Female,Savings,True,True
145,113157.22,652.0,21.0,5.0,54141.5,2.0,Spain,Female,Savings,True,False
146,138296.94,635.0,29.0,5.0,141075.51,39.0,Netherlands,Female,FullAccess,True,False
147,106967.18,650.0,37.0,5.0,24495.03,62.0,Netherlands,Male,Savings,False,False
149,0.0,416.0,32.0,0.0,878.87,16.0,Netherlands,Male,FullAccess,False,False
150,0.0,754.0,32.0,7.0,89520.75,59.0,Netherlands,Female,FullAccess,True,False
151,0.0,535.0,48.0,9.0,149892.79,90.0,Netherlands,Female,Savings,True,True
152,0.0,716.0,42.0,8.0,180800.42,72.0,Italy,Male,FullAccess,True,False
153,127609.59,539.0,37.0,2.0,100000.325,49.0,France,Male,Savings,True,False
154,0.0,614.0,43.0,5.0,109041.53,9.0,France,Female,FullAccess,True,False
155,0.0,706.0,57.0,7.0,17941.16,71.0,Spain,Male,Savings,True,True
156,0.0,758.0,33.0,7.0,82996.47,46.0,Netherlands,Female,FullAccess,False,False
158,97259.25,646.0,73.0,6.0,104719.66,5.0,Netherlands,Female,Savings,False,False
160,101060.25,717.0,22.0,6.0,84699.56,14.0,Netherlands,Female,Savings,True,False
161,0.0,684.0,30.0,2.0,83473.82,44.0,France,Male,FullAccess,True,False
162,108007.36,800.0,49.0,7.0,47125.11,84.0,Netherlands,Female,Savings,False,False
163,0.0,721.0,36.0,2.0,106977.8,26.0,Netherlands,Male,FullAccess,True,False
164,133702.89,683.0,37.0,0.0,55582.54,29.0,Netherlands,Male,Savings,True,True
165,125189.75,660.0,31.0,9.0,139874.43,6.0,Italy,Male,Savings,True,False
166,0.0,704.0,24.0,7.0,162503.48,49.0,Germany,Female,Savings,True,True
167,109013.23,615.0,41.0,5.0,196499.96,38.0,Italy,Female,Savings,True,False
168,0.0,667.0,39.0,2.0,100000.325,29.0,Netherlands,Female,Savings,True,True
169,0.0,682.0,24.0,9.0,53134.3,69.0,Netherlands,Male,FullAccess,False,False
170,130114.39,484.0,29.0,4.0,164017.89,89.0,France,Female,Savings,True,False
171,95826.49,628.0,27.0,5.0,155996.96,89.0,Netherlands,Male,FullAccess,True,False
172,129608.57,480.0,44.0,10.0,5472.7,82.0,Germany,Male,Savings,True,True
173,169462.09,578.0,30.0,4.0,112187.11,32.0,France,Male,Savings,True,False
174,0.0,512.0,40.0,5.0,146457.83,10.0,France,Male,FullAccess,True,False
175,133868.21,652.0,35.0,7.0,27286.1,29.0,Italy,Female,Savings,True,False
176,0.0,510.0,30.0,0.0,130553.47,24.0,France,Female,FullAccess,True,False
177,190479.48,606.0,36.0,5.0,179351.89,33.0,Germany,Male,FullAccess,False,False
178,101993.12,597.0,40.0,8.0,100000.325,11.0,Netherlands,Male,Savings,False,False
179,161608.81,652.0,55.0,3.0,8080.85,46.0,Germany,Female,Savings,True,True
180,122311.21,850.0,45.0,2.0,19482.5,10.0,Netherlands,Female,Savings,True,False
181,0.0,510.0,65.0,2.0,48071.61,6.0,France,Male,FullAccess,True,False
182,162150.42,652.0,45.0,1.0,174531.27,53.0,Germany,Female,FullAccess,True,False
183,0.0,636.0,42.0,2.0,55470.78,17.0,Netherlands,Male,FullAccess,True,False
184,0.0,804.0,50.0,4.0,8546.87,4.0,Italy,Female,Savings,True,True
185,0.0,514.0,32.0,8.0,95857.18,54.0,Netherlands,Male,Savings,True,False
186,99010.67,730.0,37.0,1.0,194945.8,60.0,France,Female,Savings,True,False
188,0.0,616.0,30.0,5.0,196108.51,3.0,Netherlands,Male,FullAccess,False,False
189,111388.18,687.0,34.0,7.0,100000.325,63.0,Netherlands,Female,FullAccess,True,False
190,0.0,715.0,41.0,8.0,92982.61,47.0,Netherlands,Female,Savings,False,True
191,84327.77,512.0,36.0,5.0,17675.36,47.0,Netherlands,Female,FullAccess,True,False
192,0.0,479.0,40.0,1.0,114996.43,53.0,Netherlands,Male,FullAccess,False,False
193,93012.89,601.0,32.0,8.0,100000.325,44.0,Netherlands,Male,Savings,True,False
194,61710.44,580.0,29.0,9.0,128077.8,37.0,Spain,Male,FullAccess,True,False
195,0.0,807.0,35.0,3.0,600.36,30.0,Netherlands,Male,Savings,True,False
196,0.0,652.0,32.0,6.0,43001.46,12.0,Netherlands,Female,FullAccess,True,False
197,107720.64,721.0,37.0,3.0,158591.12,30.0,Germany,Male,Savings,True,False
198,0.0,501.0,57.0,10.0,47847.19,14.0,France,Male,FullAccess,True,False
199,96423.84,521.0,35.0,6.0,10488.44,77.0,France,Male,Savings,True,False
200,141040.01,850.0,30.0,2.0,5978.2,5.0,Spain,Male,Savings,True,False
201,0.0,759.0,42.0,4.0,121409.06,29.0,Italy,Male,Savings,False,False
203,129022.06,711.0,37.0,2.0,14374.86,9.0,France,Male,FullAccess,True,True
204,0.0,512.0,33.0,3.0,94670.77,85.0,Spain,Male,Savings,True,False
205,0.0,550.0,37.0,3.0,179670.31,30.0,France,Male,Savings,True,False
206,89763.84,608.0,41.0,3.0,199304.74,62.0,Netherlands,Female,Savings,True,True
207,134954.53,618.0,34.0,5.0,100000.325,6.0,France,Male,Savings,True,False
208,0.0,643.0,45.0,5.0,100000.325,61.0,Netherlands,Male,Savings,True,True
209,0.0,671.0,45.0,2.0,158264.62,16.0,France,Male,Savings,False,False
210,161814.64,652.0,33.0,5.0,169381.9,29.0,Germany,Male,FullAccess,True,False
211,0.0,603.0,31.0,8.0,100000.325,9.0,Netherlands,Male,FullAccess,True,False
212,0.0,620.0,41.0,5.0,100000.325,69.0,Italy,Female,FullAccess,False,False
213,63095.01,676.0,34.0,1.0,100000.325,27.0,Netherlands,Female,Savings,True,False
214,118287.01,652.0,26.0,4.0,60427.3,58.0,Italy,Male,FullAccess,False,False
215,106854.21,668.0,47.0,7.0,157959.02,13.0,Netherlands,Male,Savings,False,True
216,49512.55,695.0,46.0,7.0,133007.34,63.0,Netherlands,Male,Savings,True,False
217,0.0,730.0,33.0,9.0,100000.325,71.0,Netherlands,Female,FullAccess,False,False
218,0.0,807.0,43.0,1.0,34888.04,83.0,Italy,Male,FullAccess,True,True
219,0.0,592.0,54.0,8.0,100000.325,22.0,Italy,Male,Savings,True,True
220,114722.05,726.0,31.0,9.0,100000.325,26.0,Netherlands,Male,FullAccess,True,False
222,0.0,567.0,42.0,2.0,167984.61,20.0,Italy,Male,FullAccess,True,False
223,0.0,850.0,37.0,10.0,4861.72,29.0,Italy,Male,Savings,True,True
224,99564.22,671.0,45.0,6.0,108872.45,11.0,Netherlands,Male,Savings,True,True
225,170557.91,652.0,37.0,4.0,198252.88,38.0,France,Male,FullAccess,True,False
227,74596.15,547.0,39.0,5.0,85746.52,26.0,Germany,Female,OnlineBank,True,True
228,0.0,751.0,50.0,2.0,77206.25,81.0,Netherlands,Male,Savings,True,True
229,0.0,594.0,29.0,3.0,61048.53,51.0,Netherlands,Female,Savings,True,False
230,0.0,673.0,72.0,1.0,111981.19,20.0,France,Male,FullAccess,False,False
231,0.0,610.0,37.0,0.0,62232.6,29.0,France,Male,FullAccess,True,False
232,0.0,512.0,37.0,1.0,156105.03,1.0,Netherlands,Female,FullAccess,False,False
233,119714.25,767.0,20.0,3.0,100000.325,23.0,Germany,Male,Savings,True,False
234,0.0,585.0,37.0,5.0,100000.325,30.0,France,Female,FullAccess,False,False
235,0.0,763.0,42.0,6.0,33462.94,59.0,Netherlands,Male,Savings,True,True
236,0.0,712.0,29.0,2.0,144375.0,19.0,France,Female,Savings,True,False
237,116220.5,539.0,43.0,3.0,55803.96,62.0,Germany,Female,OnlineBank,True,True
240,0.0,662.0,38.0,4.0,136259.65,59.0,Spain,Male,FullAccess,True,False
241,0.0,725.0,39.0,5.0,100000.325,54.0,Netherlands,Female,Savings,True,False
242,105961.68,703.0,37.0,8.0,74158.8,6.0,France,Male,FullAccess,False,False
243,117411.6,659.0,37.0,6.0,45071.09,13.0,Netherlands,Male,Savings,True,True
244,0.0,652.0,34.0,5.0,62030.06,87.0,Netherlands,Male,FullAccess,True,False
246,152400.51,772.0,26.0,7.0,79414.0,33.0,Italy,Male,FullAccess,True,False
247,0.0,545.0,26.0,1.0,199638.56,29.0,Netherlands,Female,FullAccess,True,False
248,0.0,634.0,24.0,8.0,100000.325,19.0,Netherlands,Male,Savings,True,False
249,126418.14,739.0,54.0,8.0,134420.75,41.0,Netherlands,Male,Savings,True,True
250,0.0,652.0,36.0,5.0,99805.99,47.0,Germany,Female,Savings,False,False
251,0.0,587.0,34.0,1.0,97932.68,22.0,Netherlands,Female,FullAccess,True,False
252,0.0,681.0,79.0,0.0,170968.99,23.0,Netherlands,Male,FullAccess,False,False
255,0.0,766.0,41.0,0.0,34283.23,22.0,Netherlands,Male,FullAccess,False,False
256,0.0,727.0,34.0,10.0,198637.34,25.0,France,Male,FullAccess,True,False
258,0.0,693.0,37.0,6.0,50457.2,28.0,Italy,Female,Savings,True,False
259,54901.01,850.0,38.0,3.0,140075.55,18.0,Germany,Male,Savings,True,False
261,99906.19,726.0,48.0,6.0,64323.24,66.0,Spain,Female,Savings,True,False
262,184686.41,557.0,37.0,5.0,14956.44,46.0,France,Female,FullAccess,True,False
265,99240.51,531.0,36.0,9.0,123137.01,47.0,Spain,Female,Savings,True,False
266,0.0,498.0,34.0,2.0,148528.24,29.0,France,Male,FullAccess,True,False
267,0.0,652.0,37.0,7.0,13898.31,71.0,Netherlands,Male,FullAccess,True,False
268,0.0,549.0,39.0,7.0,81259.25,68.0,Netherlands,Female,Savings,False,True
269,52436.2,791.0,35.0,7.0,161051.75,58.0,Italy,Female,Savings,True,False
270,0.0,650.0,41.0,9.0,191599.67,19.0,Italy,Male,Savings,True,False
271,100337.96,733.0,37.0,5.0,48559.19,62.0,Germany,Male,OnlineBank,True,True
272,149297.19,811.0,34.0,1.0,186339.74,3.0,Germany,Male,Savings,True,False
273,0.0,707.0,30.0,8.0,33159.37,65.0,Italy,Male,FullAccess,True,False
274,145605.44,712.0,28.0,4.0,100000.325,27.0,Italy,Male,Savings,False,False
275,0.0,652.0,37.0,5.0,100000.325,29.0,Spain,Male,FullAccess,True,False
276,0.0,756.0,62.0,3.0,11199.04,15.0,France,Male,Savings,True,True
277,0.0,777.0,37.0,10.0,189992.97,65.0,France,Female,FullAccess,True,False
278,84026.86,646.0,35.0,6.0,164255.69,10.0,Netherlands,Male,Savings,False,False
279,0.0,714.0,46.0,1.0,152167.79,68.0,Netherlands,Male,Savings,True,True
280,0.0,782.0,39.0,8.0,33949.67,26.0,Netherlands,Male,FullAccess,True,False
281,0.0,775.0,29.0,10.0,68143.93,12.0,Netherlands,Male,FullAccess,True,False
282,138718.92,479.0,35.0,4.0,47251.79,5.0,Germany,Male,Savings,True,True
283,0.0,807.0,42.0,5.0,25885.72,29.0,France,Male,Savings,True,False
284,174185.98,799.0,22.0,5.0,192633.85,8.0,France,Female,FullAccess,False,False
287,119023.28,475.0,32.0,8.0,100816.29,33.0,Netherlands,Female,Savings,True,False
288,166297.89,744.0,26.0,5.0,181694.44,29.0,Netherlands,Female,Savings,True,False
289,0.0,588.0,34.0,10.0,100000.325,56.0,Netherlands,Male,FullAccess,True,False
290,63227.0,703.0,42.0,9.0,137316.32,18.0,Germany,Male,Savings,False,False
291,0.0,747.0,41.0,5.0,194926.86,68.0,Spain,Female,FullAccess,True,False
292,0.0,652.0,37.0,7.0,51285.49,79.0,France,Male,FullAccess,True,False
293,112822.26,750.0,34.0,9.0,150401.53,66.0,Netherlands,Female,Savings,False,True
294,0.0,652.0,38.0,3.0,112491.96,6.0,France,Male,FullAccess,True,False
295,0.0,773.0,25.0,2.0,73656.38,74.0,France,Male,Savings,True,False
296,0.0,714.0,31.0,5.0,106636.89,30.0,Netherlands,Female,Savings,True,False
297,0.0,687.0,37.0,7.0,155853.52,29.0,Spain,Female,OnlineBank,True,True
298,149117.31,511.0,37.0,0.0,162599.51,29.0,Italy,Male,Savings,True,False
299,0.0,627.0,33.0,5.0,103737.82,10.0,France,Male,FullAccess,True,False
300,0.0,652.0,31.0,10.0,100000.325,89.0,France,Female,FullAccess,True,False
301,132311.71,616.0,36.0,6.0,15462.84,75.0,Italy,Female,Savings,False,False
303,0.0,652.0,33.0,6.0,190686.16,29.0,Netherlands,Female,FullAccess,True,False
304,118082.89,553.0,33.0,5.0,94440.45,56.0,France,Male,Savings,True,False
305,119266.69,667.0,31.0,1.0,28257.63,29.0,Netherlands,Male,Savings,True,False
306,0.0,731.0,43.0,2.0,170034.95,2.0,Netherlands,Male,Savings,True,True
307,156847.29,629.0,35.0,7.0,100000.325,52.0,Netherlands,Male,FullAccess,True,False
308,137104.47,614.0,50.0,4.0,127166.49,82.0,Netherlands,Male,Savings,True,True
309,78398.69,438.0,31.0,8.0,44937.01,33.0,Netherlands,Male,Savings,True,False
311,63669.42,652.0,30.0,6.0,100000.325,55.0,Italy,Male,Savings,True,False
312,0.0,642.0,38.0,3.0,171463.83,60.0,Italy,Male,FullAccess,True,False
314,153804.44,744.0,36.0,2.0,87213.33,23.0,Netherlands,Male,Savings,True,False
315,0.0,474.0,37.0,3.0,57175.32,29.0,Spain,Male,FullAccess,False,False
316,147069.78,559.0,49.0,5.0,120540.83,72.0,Netherlands,Male,Savings,True,True
317,0.0,706.0,42.0,9.0,28714.34,24.0,Spain,Male,FullAccess,True,False
318,0.0,628.0,22.0,3.0,85426.28,46.0,Italy,Female,Savings,True,False
319,0.0,429.0,24.0,4.0,46170.75,42.0,France,Male,Savings,True,False
320,145965.33,525.0,57.0,2.0,64448.36,0.0,Spain,Female,Savings,True,False
321,141441.75,680.0,30.0,8.0,16278.97,26.0,France,Female,Savings,True,False
323,0.0,652.0,31.0,4.0,50404.72,62.0,France,Female,FullAccess,False,False
324,0.0,734.0,30.0,3.0,107640.25,82.0,France,Male,FullAccess,True,False
325,144428.87,716.0,35.0,4.0,134132.65,45.0,Netherlands,Male,Savings,True,False
326,0.0,594.0,35.0,2.0,103480.69,54.0,Netherlands,Male,FullAccess,True,False
327,95441.27,644.0,46.0,9.0,108761.05,29.0,Netherlands,Female,Savings,True,True
328,144848.74,671.0,37.0,1.0,100000.325,29.0,Germany,Male,Savings,True,False
330,0.0,656.0,50.0,7.0,72143.44,14.0,Italy,Male,Savings,False,False
331,146502.07,667.0,40.0,1.0,100000.325,35.0,Netherlands,Female,Savings,True,False
332,117028.6,663.0,44.0,2.0,144680.18,27.0,Netherlands,Male,FullAccess,False,False
333,112013.81,584.0,30.0,8.0,177772.03,78.0,Germany,Female,Savings,True,True
334,108269.37,626.0,37.0,6.0,5597.94,72.0,Italy,Female,Savings,True,False
335,182123.79,485.0,29.0,7.0,116828.51,53.0,Netherlands,Male,Savings,True,True
336,150923.74,659.0,32.0,3.0,174652.51,18.0,Germany,Female,FullAccess,False,False
337,0.0,649.0,33.0,2.0,2010.98,29.0,Netherlands,Male,FullAccess,True,False
340,129502.49,642.0,40.0,6.0,86099.23,3.0,Germany,Female,FullAccess,False,True
342,0.0,545.0,47.0,5.0,38970.14,9.0,Spain,Female,FullAccess,True,False
343,0.0,543.0,22.0,8.0,127587.22,66.0,Netherlands,Male,FullAccess,False,False
344,0.0,652.0,25.0,7.0,30380.12,45.0,France,Female,FullAccess,True,False
345,0.0,840.0,43.0,7.0,90908.95,53.0,France,Female,FullAccess,True,False
346,106937.05,630.0,34.0,5.0,138275.01,36.0,Italy,Female,FullAccess,True,False
348,114510.85,654.0,32.0,1.0,126143.23,26.0,Germany,Female,Savings,True,False
349,0.0,582.0,39.0,5.0,129892.93,29.0,Netherlands,Male,FullAccess,True,False
350,0.0,659.0,32.0,3.0,102416.84,21.0,Spain,Male,FullAccess,True,False
351,81273.13,762.0,39.0,2.0,18719.67,18.0,Italy,Male,Savings,True,False
352,169399.6,568.0,32.0,7.0,100000.325,44.0,Spain,Male,Savings,True,False
353,0.0,670.0,25.0,6.0,78358.94,5.0,Italy,Male,FullAccess,True,False
354,187841.99,613.0,45.0,1.0,147224.27,15.0,Netherlands,Female,FullAccess,True,False
355,0.0,539.0,30.0,0.0,160979.66,66.0,Italy,Male,FullAccess,True,False
