,Balance,CreditScore,Age,Tenure,EstimatedSalary,DaysLastTransaction,Geography,Gender,MembershipType,HasCrCard,Exited,Clusters
27,0.0,591.0,39.0,5.0,140469.38,29.0,Spain,Female,OnlineBank,True,True,2
28,110112.54,553.0,41.0,9.0,81898.81,40.0,Germany,Male,FullAccess,False,False,4
29,0.0,722.0,29.0,9.0,142033.07,27.0,Netherlands,Female,FullAccess,True,False,1
30,0.0,475.0,45.0,0.0,27822.99,49.0,Italy,Female,Savings,True,True,2
31,145260.23,490.0,37.0,3.0,114066.77,27.0,Spain,Male,Savings,False,False,4
32,76548.6,804.0,33.0,5.0,98453.45,29.0,Netherlands,Male,Savings,False,False,4
33,0.0,850.0,36.0,7.0,40812.9,24.0,Netherlands,Male,Savings,True,False,0
34,0.0,472.0,40.0,4.0,70154.22,29.0,Netherlands,Male,Savings,True,False,0
35,122522.32,652.0,51.0,8.0,181297.65,29.0,Italy,Female,Savings,True,True,2
36,117419.35,556.0,61.0,2.0,94153.83,13.0,France,Female,Savings,True,False,2
37,0.0,834.0,49.0,2.0,100000.325,44.0,France,Female,Savings,False,True,5
38,155931.11,652.0,37.0,5.0,100000.325,8.0,Italy,Female,Savings,True,False,2
39,109421.13,776.0,32.0,4.0,126517.46,9.0,Netherlands,Female,FullAccess,True,False,1
40,112045.67,829.0,27.0,9.0,119708.21,10.0,Germany,Female,Savings,True,True,2
41,137843.8,637.0,39.0,5.0,117622.8,3.0,Netherlands,Female,Savings,True,True,1
42,103391.38,550.0,38.0,2.0,100000.325,29.0,Netherlands,Male,Savings,True,False,0
43,103769.22,776.0,37.0,2.0,194099.12,52.0,Italy,Male,FullAccess,True,False,6
44,116363.37,652.0,44.0,5.0,100000.325,50.0,Netherlands,Male,FullAccess,True,False,0
45,146050.97,585.0,36.0,5.0,86424.57,48.0,Germany,Male,FullAccess,False,False,4
46,0.0,788.0,33.0,5.0,116978.19,66.0,France,Female,FullAccess,True,False,2
47,0.0,655.0,41.0,8.0,164040.94,65.0,Germany,Male,Savings,False,True,4
48,98495.72,601.0,42.0,1.0,40014.76,50.0,Germany,Male,Savings,True,True,6
49,125211.92,619.0,43.0,1.0,113410.49,12.0,Netherlands,Male,Savings,True,False,0
50,127864.4,656.0,45.0,5.0,87107.57,29.0,France,Male,Savings,True,False,3
51,75888.2,652.0,19.0,0.0,100000.325,29.0,Netherlands,Male,Savings,False,False,4
52,0.0,511.0,66.0,4.0,1643.11,63.0,Spain,Female,Savings,True,True,2
53,40685.92,614.0,51.0,4.0,46775.28,3.0,Netherlands,Male,Savings,True,False,0
54,136857.0,742.0,35.0,5.0,84509.57,62.0,Netherlands,Male,Savings,False,False,4
55,152328.88,687.0,27.0,9.0,126494.82,40.0,Netherlands,Female,Savings,False,False,5
56,56084.69,555.0,33.0,1.0,178798.13,44.0,Spain,Male,FullAccess,True,False,6
57,78707.16,684.0,56.0,8.0,99398.36,22.0,Spain,Male,Savings,True,False,6
58,109166.37,603.0,26.0,4.0,92840.67,29.0,Netherlands,Male,Savings,True,False,0
59,169831.46,751.0,36.0,6.0,27758.36,13.0,Netherlands,Female,FullAccess,True,False,1
60,0.0,581.0,34.0,1.0,110431.51,29.0,Netherlands,Female,Savings,True,False,1
61,0.0,735.0,43.0,10.0,196673.28,25.0,Italy,Male,FullAccess,True,False,6
62,150725.53,661.0,35.0,5.0,113656.85,20.0,Germany,Female,FullAccess,False,False,5
63,98373.26,675.0,21.0,8.0,18203.0,68.0,Netherlands,Female,Savings,True,False,1
64,133745.44,738.0,58.0,2.0,28373.86,40.0,Netherlands,Male,Sustainable,True,True,0
65,0.0,813.0,29.0,6.0,33953.87,29.0,Netherlands,Male,Savings,True,False,0
66,163607.18,657.0,37.0,0.0,44203.55,28.0,Netherlands,Female,Savings,False,False,5
67,0.0,604.0,25.0,5.0,58426.81,25.0,Netherlands,Female,FullAccess,True,False,1
68,0.0,519.0,36.0,9.0,145562.4,28.0,Netherlands,Male,Savings,False,False,4
69,0.0,664.0,55.0,8.0,139161.64,12.0,Netherlands,Male,Savings,True,False,0
70,0.0,678.0,32.0,9.0,100000.325,28.0,France,Female,Savings,True,False,2
71,77253.22,652.0,33.0,5.0,194239.63,29.0,Spain,Male,Savings,False,False,4
72,122189.66,416.0,41.0,10.0,98301.61,84.0,Italy,Female,FullAccess,True,False,2
73,96645.54,665.0,34.0,1.0,171413.66,48.0,France,Female,FullAccess,True,False,2
74,0.0,777.0,32.0,2.0,136458.19,40.0,France,Female,Savings,True,True,2
75,0.0,543.0,36.0,3.0,26019.59,74.0,France,Female,FullAccess,False,False,5
76,90307.62,652.0,37.0,5.0,159235.29,26.0,France,Female,Savings,True,False,2
77,0.0,652.0,75.0,10.0,100000.325,29.0,Italy,Male,FullAccess,True,False,6
78,121681.82,750.0,22.0,3.0,128643.35,43.0,Spain,Male,Savings,True,True,6
79,0.0,729.0,30.0,9.0,151869.35,54.0,Netherlands,Male,FullAccess,True,False,0
80,0.0,646.0,46.0,4.0,93251.42,68.0,France,Female,OnlineBank,True,True,2
81,0.0,635.0,28.0,3.0,156791.36,29.0,Netherlands,Female,FullAccess,True,False,1
82,0.0,647.0,44.0,5.0,174205.22,29.0,Spain,Male,OnlineBank,True,True,6
83,118626.55,808.0,37.0,7.0,147132.46,82.0,Italy,Male,FullAccess,True,False,6
84,0.0,524.0,36.0,10.0,109614.57,42.0,France,Female,FullAccess,True,False,2
85,0.0,730.0,42.0,4.0,85982.47,13.0,Netherlands,Male,FullAccess,False,False,4
86,0.0,515.0,35.0,10.0,121277.78,16.0,Italy,Male,Savings,False,False,4
87,102827.44,773.0,41.0,9.0,64595.25,29.0,Spain,Male,Savings,False,False,4
88,97086.4,814.0,29.0,8.0,197276.13,0.0,Germany,Male,FullAccess,True,False,6
89,0.0,710.0,22.0,8.0,99645.04,40.0,Italy,Male,FullAccess,False,False,4
90,0.0,652.0,34.0,9.0,100000.325,45.0,Netherlands,Male,Savings,False,False,4
91,0.0,665.0,37.0,6.0,161848.03,12.0,Netherlands,Female,Savings,True,False,1
92,0.0,623.0,44.0,5.0,167162.43,78.0,Netherlands,Female,FullAccess,False,False,5
93,82674.15,652.0,31.0,9.0,41970.72,81.0,Netherlands,Male,Savings,True,False,0
94,0.0,528.0,36.0,7.0,60536.56,90.0,Netherlands,Male,Savings,True,False,0
95,0.0,652.0,65.0,1.0,177655.68,17.0,Spain,Female,Savings,True,True,2
96,107073.27,622.0,46.0,4.0,30984.59,25.0,Netherlands,Male,FullAccess,True,True,0
97,99806.85,785.0,36.0,2.0,100000.325,29.0,Netherlands,Female,Savings,False,False,5
98,92833.89,479.0,35.0,9.0,99449.86,41.0,Netherlands,Male,Savings,True,True,0
99,90536.81,652.0,30.0,3.0,63082.88,18.0,Italy,Male,Savings,True,False,6
100,108055.1,538.0,39.0,7.0,27231.26,85.0,Netherlands,Male,FullAccess,True,False,0
101,100238.35,562.0,42.0,2.0,100000.325,29.0,Netherlands,Male,Savings,False,False,4
102,106190.55,675.0,36.0,9.0,22994.32,14.0,Spain,Male,Savings,False,False,4
103,0.0,721.0,28.0,9.0,101300.94,12.0,Italy,Male,FullAccess,True,True,6
104,132351.29,628.0,30.0,9.0,74169.13,22.0,Italy,Female,FullAccess,True,False,2
105,0.0,668.0,37.0,6.0,115638.29,81.0,Netherlands,Female,Savings,True,False,1
106,0.0,506.0,41.0,1.0,31766.3,86.0,Italy,Female,FullAccess,True,False,2
107,107818.63,524.0,31.0,8.0,199725.39,49.0,Germany,Female,Savings,True,True,2
108,185173.81,699.0,34.0,4.0,120834.48,39.0,Netherlands,Male,FullAccess,True,False,0
109,129433.34,828.0,34.0,8.0,38131.77,57.0,Netherlands,Male,FullAccess,False,False,4
110,120193.42,674.0,39.0,6.0,100130.95,32.0,Netherlands,Male,Savings,False,False,4
111,0.0,656.0,37.0,6.0,141069.88,72.0,Netherlands,Female,FullAccess,True,False,1
112,126384.42,684.0,48.0,10.0,198129.36,0.0,Germany,Female,Savings,True,False,2
113,0.0,625.0,28.0,3.0,100000.325,87.0,Italy,Male,Savings,False,False,4
114,152603.45,432.0,42.0,9.0,110265.24,85.0,Netherlands,Male,Savings,True,True,0
115,0.0,549.0,52.0,1.0,8636.05,8.0,Netherlands,Female,Savings,False,True,5
116,148507.24,625.0,56.0,0.0,46824.08,89.0,Germany,Male,Savings,True,True,6
117,0.0,770.0,24.0,9.0,167256.35,64.0,France,Male,Savings,True,False,3
118,0.0,758.0,34.0,3.0,100000.325,16.0,Italy,Female,FullAccess,True,False,2
119,130862.43,795.0,33.0,9.0,114935.21,8.0,Netherlands,Female,Savings,True,False,1
120,122570.87,687.0,38.0,5.0,35608.88,4.0,France,Male,Savings,True,False,3
121,0.0,686.0,25.0,1.0,16459.37,14.0,Netherlands,Male,FullAccess,False,False,4
122,144895.05,589.0,50.0,5.0,34941.23,17.0,Netherlands,Female,FullAccess,True,False,1
123,63663.93,461.0,34.0,5.0,100000.325,0.0,Germany,Female,Savings,False,False,5
124,133463.1,637.0,40.0,2.0,93165.34,23.0,Netherlands,Male,Savings,False,False,4
125,213146.2,584.0,48.0,2.0,75161.25,58.0,Italy,Male,Savings,True,True,6
126,129490.36,579.0,35.0,1.0,8590.83,29.0,Spain,Male,FullAccess,False,True,4
127,137452.09,756.0,44.0,10.0,189543.9,67.0,Germany,Male,Savings,True,False,6
128,0.0,663.0,34.0,7.0,180427.24,17.0,Netherlands,Male,FullAccess,True,False,0
129,125851.93,682.0,43.0,5.0,193318.33,8.0,Netherlands,Female,Savings,True,False,1
130,0.0,793.0,37.0,2.0,159123.82,41.0,Netherlands,Male,Savings,True,True,0
131,40915.55,691.0,31.0,5.0,126213.84,55.0,France,Female,Savings,True,True,2
132,113157.22,652.0,21.0,5.0,54141.5,2.0,Spain,Female,Savings,True,False,2
133,138296.94,635.0,29.0,5.0,141075.51,39.0,Netherlands,Female,FullAccess,True,False,1
134,106967.18,650.0,37.0,5.0,24495.03,62.0,Netherlands,Male,Savings,False,False,4
135,0.0,416.0,32.0,0.0,878.87,16.0,Netherlands,Male,FullAccess,False,False,4
136,0.0,754.0,32.0,7.0,89520.75,59.0,Netherlands,Female,FullAccess,True,False,1
137,0.0,535.0,48.0,9.0,149892.79,90.0,Netherlands,Female,Savings,True,True,1
138,0.0,716.0,42.0,8.0,180800.42,72.0,Italy,Male,FullAccess,True,False,6
139,127609.59,539.0,37.0,2.0,100000.325,49.0,France,Male,Savings,True,False,3
140,0.0,614.0,43.0,5.0,109041.53,9.0,France,Female,FullAccess,True,False,2
141,0.0,706.0,57.0,7.0,17941.16,71.0,Spain,Male,Savings,True,True,6
142,0.0,758.0,33.0,7.0,82996.47,46.0,Netherlands,Female,FullAccess,False,False,5
143,97259.25,646.0,73.0,6.0,104719.66,5.0,Netherlands,Female,Savings,False,False,5
144,101060.25,717.0,22.0,6.0,84699.56,14.0,Netherlands,Female,Savings,True,False,1
145,0.0,684.0,30.0,2.0,83473.82,44.0,France,Male,FullAccess,True,False,3
146,108007.36,800.0,49.0,7.0,47125.11,84.0,Netherlands,Female,Savings,False,False,5
147,0.0,721.0,36.0,2.0,106977.8,26.0,Netherlands,Male,FullAccess,True,False,0
148,133702.89,683.0,37.0,0.0,55582.54,29.0,Netherlands,Male,Savings,True,True,0
149,125189.75,660.0,31.0,9.0,139874.43,6.0,Italy,Male,Savings,True,False,6
150,0.0,704.0,24.0,7.0,162503.48,49.0,Germany,Female,Savings,True,True,2
151,109013.23,615.0,41.0,5.0,196499.96,38.0,Italy,Female,Savings,True,False,2
152,0.0,667.0,39.0,2.0,100000.325,29.0,Netherlands,Female,Savings,True,True,1
153,0.0,682.0,24.0,9.0,53134.3,69.0,Netherlands,Male,FullAccess,False,False,4
154,130114.39,484.0,29.0,4.0,164017.89,89.0,France,Female,Savings,True,False,2
155,95826.49,628.0,27.0,5.0,155996.96,89.0,Netherlands,Male,FullAccess,True,False,0
156,129608.57,480.0,44.0,10.0,5472.7,82.0,Germany,Male,Savings,True,True,6
157,169462.09,578.0,30.0,4.0,112187.11,32.0,France,Male,Savings,True,False,3
158,0.0,512.0,40.0,5.0,146457.83,10.0,France,Male,FullAccess,True,False,3
159,133868.21,652.0,35.0,7.0,27286.1,29.0,Italy,Female,Savings,True,False,2
160,0.0,510.0,30.0,0.0,130553.47,24.0,France,Female,FullAccess,True,False,2
161,190479.48,606.0,36.0,5.0,179351.89,33.0,Germany,Male,FullAccess,False,False,4
162,101993.12,597.0,40.0,8.0,100000.325,11.0,Netherlands,Male,Savings,False,False,4
163,161608.81,652.0,55.0,3.0,8080.85,46.0,Germany,Female,Savings,True,True,2
164,122311.21,850.0,45.0,2.0,19482.5,10.0,Netherlands,Female,Savings,True,False,1
165,0.0,510.0,65.0,2.0,48071.61,6.0,France,Male,FullAccess,True,False,3
166,162150.42,652.0,45.0,1.0,174531.27,53.0,Germany,Female,FullAccess,True,False,2
167,0.0,636.0,42.0,2.0,55470.78,17.0,Netherlands,Male,FullAccess,True,False,0
168,0.0,804.0,50.0,4.0,8546.87,4.0,Italy,Female,Savings,True,True,2
169,0.0,514.0,32.0,8.0,95857.18,54.0,Netherlands,Male,Savings,True,False,0
170,99010.67,730.0,37.0,1.0,194945.8,60.0,France,Female,Savings,True,False,2
171,0.0,616.0,30.0,5.0,196108.51,3.0,Netherlands,Male,FullAccess,False,False,4
172,111388.18,687.0,34.0,7.0,100000.325,63.0,Netherlands,Female,FullAccess,True,False,1
173,0.0,715.0,41.0,8.0,92982.61,47.0,Netherlands,Female,Savings,False,True,5
174,84327.77,512.0,36.0,5.0,17675.36,47.0,Netherlands,Female,FullAccess,True,False,1
175,0.0,479.0,40.0,1.0,114996.43,53.0,Netherlands,Male,FullAccess,False,False,4
176,93012.89,601.0,32.0,8.0,100000.325,44.0,Netherlands,Male,Savings,True,False,0
177,61710.44,580.0,29.0,9.0,128077.8,37.0,Spain,Male,FullAccess,True,False,6
178,0.0,807.0,35.0,3.0,600.36,30.0,Netherlands,Male,Savings,True,False,0
179,0.0,652.0,32.0,6.0,43001.46,12.0,Netherlands,Female,FullAccess,True,False,1
180,107720.64,721.0,37.0,3.0,158591.12,30.0,Germany,Male,Savings,True,False,6
181,0.0,501.0,57.0,10.0,47847.19,14.0,France,Male,FullAccess,True,False,3
182,96423.84,521.0,35.0,6.0,10488.44,77.0,France,Male,Savings,True,False,3
183,141040.01,850.0,30.0,2.0,5978.2,5.0,Spain,Male,Savings,True,False,6
184,0.0,759.0,42.0,4.0,121409.06,29.0,Italy,Male,Savings,False,False,4
185,129022.06,711.0,37.0,2.0,14374.86,9.0,France,Male,FullAccess,True,True,3
186,0.0,512.0,33.0,3.0,94670.77,85.0,Spain,Male,Savings,True,False,6
187,0.0,550.0,37.0,3.0,179670.31,30.0,France,Male,Savings,True,False,3
188,89763.84,608.0,41.0,3.0,199304.74,62.0,Netherlands,Female,Savings,True,True,1
189,134954.53,618.0,34.0,5.0,100000.325,6.0,France,Male,Savings,True,False,3
190,0.0,643.0,45.0,5.0,100000.325,61.0,Netherlands,Male,Savings,True,True,0
191,0.0,671.0,45.0,2.0,158264.62,16.0,France,Male,Savings,False,False,4
192,161814.64,652.0,33.0,5.0,169381.9,29.0,Germany,Male,FullAccess,True,False,6
193,0.0,603.0,31.0,8.0,100000.325,9.0,Netherlands,Male,FullAccess,True,False,0
194,0.0,620.0,41.0,5.0,100000.325,69.0,Italy,Female,FullAccess,False,False,5
195,63095.01,676.0,34.0,1.0,100000.325,27.0,Netherlands,Female,Savings,True,False,1
196,118287.01,652.0,26.0,4.0,60427.3,58.0,Italy,Male,FullAccess,False,False,4
197,106854.21,668.0,47.0,7.0,157959.02,13.0,Netherlands,Male,Savings,False,True,4
198,49512.55,695.0,46.0,7.0,133007.34,63.0,Netherlands,Male,Savings,True,False,0
199,0.0,730.0,33.0,9.0,100000.325,71.0,Netherlands,Female,FullAccess,False,False,5
200,0.0,807.0,43.0,1.0,34888.04,83.0,Italy,Male,FullAccess,True,True,6
201,0.0,592.0,54.0,8.0,100000.325,22.0,Italy,Male,Savings,True,True,6
202,114722.05,726.0,31.0,9.0,100000.325,26.0,Netherlands,Male,FullAccess,True,False,0
203,0.0,567.0,42.0,2.0,167984.61,20.0,Italy,Male,FullAccess,True,False,6
204,0.0,850.0,37.0,10.0,4861.72,29.0,Italy,Male,Savings,True,True,6
205,99564.22,671.0,45.0,6.0,108872.45,11.0,Netherlands,Male,Savings,True,True,0
206,170557.91,652.0,37.0,4.0,198252.88,38.0,France,Male,FullAccess,True,False,3
207,74596.15,547.0,39.0,5.0,85746.52,26.0,Germany,Female,OnlineBank,True,True,2
208,0.0,751.0,50.0,2.0,77206.25,81.0,Netherlands,Male,Savings,True,True,0
209,0.0,594.0,29.0,3.0,61048.53,51.0,Netherlands,Female,Savings,True,False,1
210,0.0,673.0,72.0,1.0,111981.19,20.0,France,Male,FullAccess,False,False,4
211,0.0,610.0,37.0,0.0,62232.6,29.0,France,Male,FullAccess,True,False,3
212,0.0,512.0,37.0,1.0,156105.03,1.0,Netherlands,Female,FullAccess,False,False,5
213,119714.25,767.0,20.0,3.0,100000.325,23.0,Germany,Male,Savings,True,False,6
214,0.0,585.0,37.0,5.0,100000.325,30.0,France,Female,FullAccess,False,False,5
215,0.0,763.0,42.0,6.0,33462.94,59.0,Netherlands,Male,Savings,True,True,0
216,0.0,712.0,29.0,2.0,144375.0,19.0,France,Female,Savings,True,False,2
217,116220.5,539.0,43.0,3.0,55803.96,62.0,Germany,Female,OnlineBank,True,True,2
218,0.0,662.0,38.0,4.0,136259.65,59.0,Spain,Male,FullAccess,True,False,6
219,0.0,725.0,39.0,5.0,100000.325,54.0,Netherlands,Female,Savings,True,False,1
220,105961.68,703.0,37.0,8.0,74158.8,6.0,France,Male,FullAccess,False,False,4
221,117411.6,659.0,37.0,6.0,45071.09,13.0,Netherlands,Male,Savings,True,True,0
222,0.0,652.0,34.0,5.0,62030.06,87.0,Netherlands,Male,FullAccess,True,False,0
223,152400.51,772.0,26.0,7.0,79414.0,33.0,Italy,Male,FullAccess,True,False,6
224,0.0,545.0,26.0,1.0,199638.56,29.0,Netherlands,Female,FullAccess,True,False,1
225,0.0,634.0,24.0,8.0,100000.325,19.0,Netherlands,Male,Savings,True,False,0
226,126418.14,739.0,54.0,8.0,134420.75,41.0,Netherlands,Male,Savings,True,True,0
227,0.0,652.0,36.0,5.0,99805.99,47.0,Germany,Female,Savings,False,False,5
228,0.0,587.0,34.0,1.0,97932.68,22.0,Netherlands,Female,FullAccess,True,False,1
229,0.0,681.0,79.0,0.0,170968.99,23.0,Netherlands,Male,FullAccess,False,False,4
230,0.0,766.0,41.0,0.0,34283.23,22.0,Netherlands,Male,FullAccess,False,False,4
231,0.0,727.0,34.0,10.0,198637.34,25.0,France,Male,FullAccess,True,False,3
232,0.0,693.0,37.0,6.0,50457.2,28.0,Italy,Female,Savings,True,False,2
233,54901.01,850.0,38.0,3.0,140075.55,18.0,Germany,Male,Savings,True,False,6
234,99906.19,726.0,48.0,6.0,64323.24,66.0,Spain,Female,Savings,True,False,2
235,184686.41,557.0,37.0,5.0,14956.44,46.0,France,Female,FullAccess,True,False,2
236,99240.51,531.0,36.0,9.0,123137.01,47.0,Spain,Female,Savings,True,False,2
237,0.0,498.0,34.0,2.0,148528.24,29.0,France,Male,FullAccess,True,False,3
238,0.0,652.0,37.0,7.0,13898.31,71.0,Netherlands,Male,FullAccess,True,False,0
239,0.0,549.0,39.0,7.0,81259.25,68.0,Netherlands,Female,Savings,False,True,5
240,52436.2,791.0,35.0,7.0,161051.75,58.0,Italy,Female,Savings,True,False,2
241,0.0,650.0,41.0,9.0,191599.67,19.0,Italy,Male,Savings,True,False,6
242,100337.96,733.0,37.0,5.0,48559.19,62.0,Germany,Male,OnlineBank,True,True,6
243,149297.19,811.0,34.0,1.0,186339.74,3.0,Germany,Male,Savings,True,False,6
244,0.0,707.0,30.0,8.0,33159.37,65.0,Italy,Male,FullAccess,True,False,6
245,145605.44,712.0,28.0,4.0,100000.325,27.0,Italy,Male,Savings,False,False,4
246,0.0,652.0,37.0,5.0,100000.325,29.0,Spain,Male,FullAccess,True,False,6
247,0.0,756.0,62.0,3.0,11199.04,15.0,France,Male,Savings,True,True,3
248,0.0,777.0,37.0,10.0,189992.97,65.0,France,Female,FullAccess,True,False,2
249,84026.86,646.0,35.0,6.0,164255.69,10.0,Netherlands,Male,Savings,False,False,4
250,0.0,714.0,46.0,1.0,152167.79,68.0,Netherlands,Male,Savings,True,True,0
251,0.0,782.0,39.0,8.0,33949.67,26.0,Netherlands,Male,FullAccess,True,False,0
252,0.0,775.0,29.0,10.0,68143.93,12.0,Netherlands,Male,FullAccess,True,False,0
253,138718.92,479.0,35.0,4.0,47251.79,5.0,Germany,Male,Savings,True,True,6
254,0.0,807.0,42.0,5.0,25885.72,29.0,France,Male,Savings,True,False,3
255,174185.98,799.0,22.0,5.0,192633.85,8.0,France,Female,FullAccess,False,False,5
256,119023.28,475.0,32.0,8.0,100816.29,33.0,Netherlands,Female,Savings,True,False,1
257,166297.89,744.0,26.0,5.0,181694.44,29.0,Netherlands,Female,Savings,True,False,1
258,0.0,588.0,34.0,10.0,100000.325,56.0,Netherlands,Male,FullAccess,True,False,0
259,63227.0,703.0,42.0,9.0,137316.32,18.0,Germany,Male,Savings,False,False,4
260,0.0,747.0,41.0,5.0,194926.86,68.0,Spain,Female,FullAccess,True,False,2
261,0.0,652.0,37.0,7.0,51285.49,79.0,France,Male,FullAccess,True,False,3
262,112822.26,750.0,34.0,9.0,150401.53,66.0,Netherlands,Female,Savings,False,True,5
263,0.0,652.0,38.0,3.0,112491.96,6.0,France,Male,FullAccess,True,False,3
264,0.0,773.0,25.0,2.0,73656.38,74.0,France,Male,Savings,True,False,3
265,0.0,714.0,31.0,5.0,106636.89,30.0,Netherlands,Female,Savings,True,False,1
266,0.0,687.0,37.0,7.0,155853.52,29.0,Spain,Female,OnlineBank,True,True,2
267,149117.31,511.0,37.0,0.0,162599.51,29.0,Italy,Male,Savings,True,False,6
268,0.0,627.0,33.0,5.0,103737.82,10.0,France,Male,FullAccess,True,False,3
269,0.0,652.0,31.0,10.0,100000.325,89.0,France,Female,FullAccess,True,False,2
270,132311.71,616.0,36.0,6.0,15462.84,75.0,Italy,Female,Savings,False,False,5
271,0.0,652.0,33.0,6.0,190686.16,29.0,Netherlands,Female,FullAccess,True,False,1
272,118082.89,553.0,33.0,5.0,94440.45,56.0,France,Male,Savings,True,False,3
273,119266.69,667.0,31.0,1.0,28257.63,29.0,Netherlands,Male,Savings,True,False,0
274,0.0,731.0,43.0,2.0,170034.95,2.0,Netherlands,Male,Savings,True,True,0
275,156847.29,629.0,35.0,7.0,100000.325,52.0,Netherlands,Male,FullAccess,True,False,0
276,137104.47,614.0,50.0,4.0,127166.49,82.0,Netherlands,Male,Savings,True,True,0
277,78398.69,438.0,31.0,8.0,44937.01,33.0,Netherlands,Male,Savings,True,False,0
278,63669.42,652.0,30.0,6.0,100000.325,55.0,Italy,Male,Savings,True,False,6
279,0.0,642.0,38.0,3.0,171463.83,60.0,Italy,Male,FullAccess,True,False,6
280,153804.44,744.0,36.0,2.0,87213.33,23.0,Netherlands,Male,Savings,True,False,0
281,0.0,474.0,37.0,3.0,57175.32,29.0,Spain,Male,FullAccess,False,False,4
282,147069.78,559.0,49.0,5.0,120540.83,72.0,Netherlands,Male,Savings,True,True,0
283,0.0,706.0,42.0,9.0,28714.34,24.0,Spain,Male,FullAccess,True,False,6
284,0.0,628.0,22.0,3.0,85426.28,46.0,Italy,Female,Savings,True,False,2
285,0.0,429.0,24.0,4.0,46170.75,42.0,France,Male,Savings,True,False,3
286,145965.33,525.0,57.0,2.0,64448.36,0.0,Spain,Female,Savings,True,False,2
287,141441.75,680.0,30.0,8.0,16278.97,26.0,France,Female,Savings,True,False,2
288,0.0,652.0,31.0,4.0,50404.72,62.0,France,Female,FullAccess,False,False,5
289,0.0,734.0,30.0,3.0,107640.25,82.0,France,Male,FullAccess,True,False,3
290,144428.87,716.0,35.0,4.0,134132.65,45.0,Netherlands,Male,Savings,True,False,0
291,0.0,594.0,35.0,2.0,103480.69,54.0,Netherlands,Male,FullAccess,True,False,0
292,95441.27,644.0,46.0,9.0,108761.05,29.0,Netherlands,Female,Savings,True,True,1
293,144848.74,671.0,37.0,1.0,100000.325,29.0,Germany,Male,Savings,True,False,6
294,0.0,656.0,50.0,7.0,72143.44,14.0,Italy,Male,Savings,False,False,4
295,146502.07,667.0,40.0,1.0,100000.325,35.0,Netherlands,Female,Savings,True,False,1
296,117028.6,663.0,44.0,2.0,144680.18,27.0,Netherlands,Male,FullAccess,False,False,4
297,112013.81,584.0,30.0,8.0,177772.03,78.0,Germany,Female,Savings,True,True,2
298,108269.37,626.0,37.0,6.0,5597.94,72.0,Italy,Female,Savings,True,False,2
299,182123.79,485.0,29.0,7.0,116828.51,53.0,Netherlands,Male,Savings,True,True,0
300,150923.74,659.0,32.0,3.0,174652.51,18.0,Germany,Female,FullAccess,False,False,5
301,0.0,649.0,33.0,2.0,2010.98,29.0,Netherlands,Male,FullAccess,True,False,0
